CIK,CompanyName,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Category
1535929,VOYA FINANCIAL INC,154682,145741,NA,NA,0,0,55,"Finance, Insurance, And Real Estate"
722723,HANGER INC,703.01,724.934,NA,NA,89.489,0,5.238,Services
94845,LEVI STRAUSS & CO,3542.66,2576.061,151.229,348.793,460.613,61.605,214.778,Manufacturing
842162,LEAR CORP,11600.7,7082,726.2,812.2,2598.1,190.2,311.9,Manufacturing
821189,EOG RESOURCES INC,33934.474,14570.286,4084.156,156.842,28075.519,65.615,821.958,Mining
1328581,BOISE CASCADE CO,1581.248,908.658,21.704,NA,499.792,0.005,1.625,Wholesale Trade
855658,LATTICE SEMICONDUCTOR CORP,623.687,365.23,-8.274,-15.695,34.883,1.869,2.353,Manufacturing
1552198,WHITEHORSE FINANCE INC,514.095,198.799,NA,NA,0,0,0,"Finance, Insurance, And Real Estate"
1059142,AMERICA FIRST MULTIFAMILY-LP,982.713,583.897,NA,NA,64.596,NA,-0.922,"Finance, Insurance, And Real Estate"
1585790,ADVANCED DISPOSAL SERVICES,3528.3,2616.8,NA,NA,1761.4,0,4.6,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1562476,TAYLOR MORRISON HOME CORP,5264.441,2845.706,271.017,2.499,86.736,25.482,63.036,Construction
717538,ARROW FINANCIAL CORP,2988.334,2718.75,NA,NA,30.446,NA,9.026,"Finance, Insurance, And Real Estate"
701347,CENTRAL PACIFIC FINANCIAL CP,5807.026,5315.301,NA,NA,45.285,NA,18.758,"Finance, Insurance, And Real Estate"
854775,DIGI INTERNATIONAL INC,371.125,40.845,-2.887,5.677,6.27,1.412,1.487,Manufacturing
800457,DONEGAL GROUP INC,1832.078,1433.208,NA,NA,4.691,0,-15.477,"Finance, Insurance, And Real Estate"
1555074,ALTISOURCE ASSET MGMT CORP,49.367,6.771,-10.955,0.454,NA,NA,0.375,"Finance, Insurance, And Real Estate"
712515,ELECTRONIC ARTS INC,8957,3626,170,909,448,42,60,Services
1559053,PROTHENA CORP PLC,498.796,175.798,-163.653,7.538,52.835,1.124,-0.47,Manufacturing
24090,CITIZENS INC,1615.561,1427.828,NA,NA,5.943,0,13.064,"Finance, Insurance, And Real Estate"
726854,CITY HOLDING CO,4899.012,4298.248,NA,NA,78.383,NA,18.015,"Finance, Insurance, And Real Estate"
723188,COMMUNITY BANK SYSTEM INC,10607.295,8893.512,NA,NA,119.988,NA,44.347,"Finance, Insurance, And Real Estate"
712534,FIRST MERCHANTS CORP,9884.716,8476.456,NA,NA,93.42,NA,28.999,"Finance, Insurance, And Real Estate"
1438533,RETROPHIN INC,709.16,390.907,-87.573,-14.294,3.146,0,0.811,Manufacturing
1547546,HUNT COS FINANCE TRUST INC,679.352,529.149,NA,NA,0,NA,1.521,"Finance, Insurance, And Real Estate"
1561387,HEALTH INSURANCE INNOVATIONS,432.489,289.021,NA,NA,5.134,0,10.672,"Finance, Insurance, And Real Estate"
39311,INDEPENDENT BANK CORP/MI,3353.281,3014.287,NA,NA,38.777,NA,9.294,"Finance, Insurance, And Real Estate"
1591956,SPHERE 3D CORP,11.286,10.322,NA,NA,0.006,0,0,Services
1561627,EXONE CO,77.682,14.907,-16.262,3.755,41.906,0.142,0.16,Manufacturing
865058,NATIONAL SEC GROUP INC,144.231,98.365,NA,NA,1.649,NA,0.286,"Finance, Insurance, And Real Estate"
1635984,NATIONAL WESTERN LIFE GROUP,11931.691,10030.914,NA,NA,NA,0,24.749,"Finance, Insurance, And Real Estate"
793547,NAVIGATORS GROUP INC,5603.449,4416.599,NA,NA,NA,NA,14.336,"Finance, Insurance, And Real Estate"
707179,OLD NATIONAL BANCORP,19728.435,17038.865,NA,NA,485.912,NA,17.85,"Finance, Insurance, And Real Estate"
855654,IMMUNOGEN INC,295.381,284.409,NA,NA,12.891,0,0,Manufacturing
318300,PEOPLES BANCORP INC/OH,3991.454,3471.314,NA,NA,56.542,NA,8.686,"Finance, Insurance, And Real Estate"
230557,SELECTIVE INS GROUP INC,7952.729,6160.927,NA,NA,65.248,0,32.782,"Finance, Insurance, And Real Estate"
719739,SVB FINANCIAL GROUP,56927.979,51663.136,NA,NA,129.213,NA,351.561,"Finance, Insurance, And Real Estate"
811830,SANTANDER HOLDINGS USA INC,135634.285,111787.053,NA,NA,14884.733,NA,425.9,"Finance, Insurance, And Real Estate"
701869,INDEPENDENCE HOLDING CO,1037.516,583.902,NA,NA,3.947,0,8.488,"Finance, Insurance, And Real Estate"
828944,WSFS FINANCIAL CORP,7248.87,6427.95,NA,NA,44.956,NA,36.055,"Finance, Insurance, And Real Estate"
801337,WEBSTER FINANCIAL CORP,27610.315,24723.8,NA,NA,124.85,NA,81.215,"Finance, Insurance, And Real Estate"
203596,WESBANCO INC,12458.632,10479.805,NA,NA,166.925,NA,31.412,"Finance, Insurance, And Real Estate"
318673,SECURITY NATL FINL CP  -CL A,1050.811,879,NA,NA,7.011,0,4.494,"Finance, Insurance, And Real Estate"
730708,SEACOAST BANKING CORP/FL,6747.659,5883.392,NA,NA,71.024,NA,20.259,"Finance, Insurance, And Real Estate"
708955,FIRST FINL BANCORP INC/OH,13986.66,11908.411,NA,NA,215.652,NA,41.626,"Finance, Insurance, And Real Estate"
1724965,TALOS ENERGY INC,2479.986,1472.49,NA,NA,2060.445,1.345,2.922,Mining
357301,TRUSTCO BANK CORP/NY,4958.913,4469.042,NA,NA,34.694,NA,18.209,"Finance, Insurance, And Real Estate"
729986,UNITED BANKSHARES INC/WV,19250.498,15998.874,NA,NA,95.245,NA,70.823,"Finance, Insurance, And Real Estate"
101199,UNITED FIRE GROUP INC,2816.698,1928.323,NA,NA,97.194,0,-11.405,"Finance, Insurance, And Real Estate"
